activeStart,activeEnd,locationAbbr,locationID
"2018-09-11 16:35:00","2018-09-18 16:27:14","WFG right B",40
"2018-09-18 16:28:00","2018-09-25 11:42:44","WFG right B",40
"2018-08-28 17:53:31","2018-09-04 16:20:52","WFG left A",41
"2018-09-04 16:22:18","2018-09-11 16:19:11","WFG left A",41
"2018-09-11 16:21:00","2018-09-18 16:17:27","WFG left A",41
"2018-09-18 16:20:00","2018-09-25 16:54:55","WFG left A",41
"2018-08-28 18:03:40","2018-09-04 16:32:47","WFG left B",42
"2018-09-04 16:34:10","2018-09-11 16:33:57","WFG left B",42
"2018-09-11 16:36:00","2018-09-18 16:28:04","WFG left B",42
"2018-09-18 16:29:00","2018-09-25 16:41:24","WFG left B",42
